index,Date,HomeTeamId,AwayTeamId,HTR,FTR
5858,19/08/17,351.0,343.0,H,H
5859,19/08/17,1081.0,355.0,H,H
5860,19/08/17,69.0,322.0,A,H
5861,19/08/17,356.0,357.0,H,H
5862,19/08/17,71.0,341.0,A,A
5863,19/08/17,76.0,715.0,D,A
5864,25/08/17,387.0,58.0,D,D
5865,26/08/17,357.0,71.0,H,H
5866,26/08/17,332.0,355.0,D,A
5867,26/08/17,402.0,76.0,D,D
5868,26/08/17,715.0,69.0,H,H
5869,26/08/17,349.0,63.0,A,A
5870,26/08/17,343.0,1081.0,D,D
5871,26/08/17,384.0,68.0,H,H
5872,26/08/17,351.0,341.0,A,A
5873,26/08/17,356.0,342.0,H,H
5874,08/09/17,342.0,322.0,H,H
5875,09/09/17,58.0,402.0,D,D
5876,09/09/17,63.0,715.0,D,D
5877,09/09/17,68.0,332.0,H,H
5878,09/09/17,1081.0,357.0,D,D
5879,09/09/17,69.0,349.0,H,H
5880,09/09/17,355.0,387.0,D,A
5881,09/09/17,345.0,351.0,D,H
5882,09/09/17,71.0,356.0,A,A
5883,09/09/17,76.0,384.0,H,H
5884,12/09/17,58.0,343.0,D,D
5885,12/09/17,341.0,332.0,H,H
5886,12/09/17,1081.0,715.0,H,H
5887,12/09/17,69.0,384.0,A,D
5888,12/09/17,345.0,402.0,D,H
5889,12/09/17,71.0,351.0,D,A
5890,12/09/17,76.0,387.0,D,D
5891,13/09/17,63.0,322.0,H,H
5892,16/09/17,357.0,58.0,A,A
5893,16/09/17,332.0,1081.0,H,A
5894,16/09/17,402.0,355.0,H,D
5895,16/09/17,387.0,342.0,A,H
5896,16/09/17,715.0,345.0,A,D
5897,16/09/17,322.0,71.0,A,D
5898,16/09/17,343.0,69.0,D,H
5899,16/09/17,384.0,341.0,D,H
5900,16/09/17,351.0,76.0,D,A
5901,16/09/17,356.0,68.0,A,A
5902,23/09/17,58.0,351.0,H,H
5903,23/09/17,342.0,332.0,D,D
5904,23/09/17,63.0,343.0,D,D
5905,23/09/17,341.0,349.0,H,H
5906,23/09/17,68.0,387.0,D,D
5907,23/09/17,1081.0,384.0,D,D
5908,23/09/17,355.0,322.0,A,D
5909,23/09/17,71.0,715.0,A,A
5910,23/09/17,76.0,357.0,D,H
5911,24/09/17,345.0,356.0,A,A
5912,26/09/17,357.0,69.0,H,D
5913,26/09/17,402.0,342.0,A,D
5914,26/09/17,715.0,341.0,H,H
5915,26/09/17,322.0,1081.0,A,A
