id,day,month,year,weekday,hour,minute,matchday,leagueType,homeId,awayId,scoreHomeHt,scoreAwayHt,scoreHomeFt,scoreAwayFt,h2hHomeWins,h2hHomeLosses,h2hAwayWins,h2hAwayLosses,h2hDraws,h2hAvgGoals,h2hMatches
325532,9,4,2022,6,18,0,29.0,0.0,678,6806,0.0,1.0,2.0,1.0,4.0,0.0,0.0,-4.0,1.0,15.0,5.0
325533,3,4,2022,7,12,30,28.0,0.0,6806,673,0.0,0.0,1.0,1.0,2.0,0.0,0.0,-2.0,3.0,10.0,5.0
325534,3,4,2022,7,14,45,28.0,0.0,1909,1915,1.0,1.0,1.0,2.0,0.0,-4.0,4.0,0.0,1.0,10.0,5.0
325535,2,4,2022,6,18,0,28.0,0.0,683,676,0.0,1.0,1.0,1.0,0.0,-2.0,2.0,0.0,3.0,17.0,5.0
325536,3,4,2022,7,10,15,28.0,0.0,684,718,0.0,0.0,0.0,1.0,1.0,-2.0,2.0,-1.0,2.0,10.0,5.0
325537,3,4,2022,7,12,30,28.0,0.0,1920,671,0.0,0.0,0.0,2.0,2.0,-3.0,3.0,-2.0,0.0,15.0,5.0
325538,2,4,2022,6,19,0,28.0,0.0,675,672,0.0,0.0,2.0,0.0,5.0,0.0,0.0,-5.0,0.0,18.0,5.0
325539,2,4,2022,6,16,45,28.0,0.0,666,674,3.0,1.0,3.0,3.0,1.0,-4.0,4.0,-1.0,0.0,15.0,5.0
325540,2,4,2022,6,14,30,28.0,0.0,677,678,1.0,2.0,1.0,3.0,0.0,-5.0,5.0,0.0,0.0,23.0,5.0
325541,2,4,2022,6,18,0,28.0,0.0,682,679,1.0,0.0,3.0,1.0,4.0,0.0,0.0,-4.0,1.0,11.0,5.0
325542,20,3,2022,7,19,0,27.0,0.0,672,682,2.0,1.0,2.0,2.0,1.0,-3.0,3.0,-1.0,1.0,22.0,5.0
325543,20,3,2022,7,15,45,27.0,0.0,679,683,1.0,1.0,1.0,2.0,0.0,-4.0,4.0,0.0,1.0,14.0,5.0
325544,18,3,2022,5,19,0,27.0,0.0,673,671,0.0,0.0,2.0,0.0,4.0,-1.0,1.0,-4.0,0.0,9.0,5.0
325545,20,3,2022,7,15,45,27.0,0.0,674,1920,3.0,0.0,5.0,0.0,3.0,0.0,0.0,-3.0,2.0,18.0,5.0
325546,19,3,2022,6,20,0,27.0,0.0,1915,6806,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,3.0,8.0,5.0
325547,19,3,2022,6,17,45,27.0,0.0,718,1909,2.0,0.0,3.0,0.0,1.0,-2.0,2.0,-1.0,2.0,15.0,5.0
325548,20,3,2022,7,11,15,27.0,0.0,676,677,0.0,2.0,1.0,3.0,2.0,-1.0,1.0,-2.0,2.0,14.0,5.0
325549,19,3,2022,6,19,0,27.0,0.0,666,684,1.0,0.0,1.0,0.0,4.0,-1.0,1.0,-4.0,0.0,16.0,5.0
