id,date,status,league_name,league_id,league_type,stage,home_team,home_team_id,away_team,away_team_id,venue,home_odds,draw_odds,away_odds,home/away,draw,both_score,>1.5,>2.5,>3.5,>4.5,elevation,temperature_2m,rain,cloud_cover,wind_speed_10m,wind_direction_10m,relative_humidity_2m
327023,2022-04-23 11:30:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Arsenal,57,Man United,66,Emirates Stadium,2.13,3.43,3.43,1,0,1,1,0,0,0,30.0,16.1,0.1,37.0,29.1,64.0,55.0
327032,2022-04-23 14:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Norwich,68,Newcastle,67,Carrow Road,3.26,3.35,2.24,0,0,1,0,0,0,0,3.0,12.6,0.0,17.0,25.4,55.0,69.0
327031,2022-04-23 14:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man City,65,Watford,346,Etihad Stadium,1.11,9.91,23.06,1,0,1,1,1,0,0,0.0,5.1,0.1,100.0,18.6,112.0,96.0
327029,2022-04-23 14:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Leicester City,338,Aston Villa,58,King Power Stadium,2.69,3.47,2.51,0,1,0,0,0,0,0,54.0,13.5,0.0,11.0,32.2,54.0,65.0
327024,2022-04-23 16:30:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brentford,402,Tottenham,73,Brentford Community Stadium,4.46,3.7,1.8,0,1,0,0,0,0,0,10.0,14.6,0.0,100.0,24.2,47.0,61.0
327026,2022-04-24 13:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Burnley,328,Wolverhampton,76,Turf Moor,2.73,3.02,2.83,1,0,1,0,0,0,0,121.0,12.9,0.0,81.0,22.7,65.0,55.0
327025,2022-04-24 13:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brighton Hove,397,Southampton,340,The American Express Community Stadium,2.13,3.3,3.47,0,1,1,1,0,0,0,68.0,16.2,0.0,14.0,22.7,48.0,45.0
327027,2022-04-24 13:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Chelsea,61,West Ham,563,Stamford Bridge,1.57,4.2,5.56,1,0,1,0,0,0,0,9.0,17.1,0.0,70.0,21.2,42.0,41.0
327030,2022-04-24 15:30:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Liverpool,64,Everton,62,Anfield,1.18,7.32,14.26,1,0,1,0,0,0,0,59.0,13.7,0.0,82.0,18.9,69.0,48.0
327028,2022-04-25 19:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Crystal Palace,354,Leeds United,341,Selhurst Park,2.09,3.5,3.46,0,1,0,0,0,0,0,55.0,8.1,0.0,0.0,10.4,46.0,77.0
326996,2022-04-28 18:45:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man United,66,Chelsea,61,Old Trafford,3.01,3.75,2.19,0,1,1,0,0,0,0,32.0,8.8,0.0,100.0,9.1,56.0,70.0
327017,2022-04-30 11:30:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Newcastle,67,Liverpool,64,St James' Park,6.47,4.64,1.46,0,0,1,0,0,0,0,80.0,16.5,0.0,67.0,17.3,239.0,43.0
327018,2022-04-30 14:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Southampton,340,Crystal Palace,354,St. Mary's Stadium,2.37,3.61,2.85,0,0,1,0,0,0,0,6.0,14.0,0.0,71.0,11.6,210.0,64.0
327013,2022-04-30 14:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Aston Villa,58,Norwich,68,Villa Park,1.42,4.77,7.13,1,0,1,0,0,0,0,100.0,14.9,0.0,90.0,13.0,236.0,45.0
327022,2022-04-30 14:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Wolverhampton,76,Brighton Hove,397,Molineux Stadium,2.79,3.05,2.74,0,0,1,0,0,0,0,130.0,14.4,0.0,100.0,13.1,238.0,46.0
327020,2022-04-30 14:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Watford,346,Burnley,328,Vicarage Road Stadium,2.41,3.35,2.95,0,0,1,0,0,0,0,72.0,15.9,0.0,94.0,5.4,266.0,42.0
327015,2022-04-30 16:30:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Leeds United,341,Man City,65,Elland Road,9.67,6.2,1.27,0,0,1,1,0,0,0,43.0,11.3,0.2,91.0,11.3,287.0,70.0
327019,2022-05-01 13:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Tottenham,73,Leicester City,338,Tottenham Hotspur Stadium,1.44,4.79,6.65,1,0,1,1,0,0,0,13.0,12.6,0.0,100.0,10.7,222.0,65.0
327014,2022-05-01 13:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Everton,62,Chelsea,61,Goodison Park,5.58,4.04,1.6,1,0,1,0,0,0,0,41.0,13.3,0.1,100.0,10.0,165.0,75.0
327021,2022-05-01 15:30:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,West Ham,563,Arsenal,57,London Stadium,3.38,3.43,2.17,0,0,1,0,0,0,0,10.0,11.6,0.1,100.0,14.1,218.0,75.0
327016,2022-05-02 19:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man United,66,Brentford,402,Old Trafford,1.65,4.19,4.84,1,0,1,0,0,0,0,32.0,11.3,0.1,100.0,13.4,54.0,83.0
