HomeTeam,AwayTeam,AvgH,AvgD,AvgA,DayOfYear,DayOfWeek,HourOfDay,MinuteOfHour,target
63.0,64.0,2.2,3.31,3.38,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.2,3.31,3.38,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.2,3.31,3.38,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.2,3.31,3.38,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.2,3.31,3.38,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.2,3.31,3.38,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.2,3.31,3.38,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.2,3.31,3.38,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.2,3.31,3.38,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.2,3.31,3.38,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.2,3.31,3.38,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.2,3.31,3.38,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.2,3.31,3.38,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.2,3.31,3.38,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.2,3.31,3.38,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.2,3.31,3.38,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.2,3.31,3.38,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.2,3.31,3.38,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.89,3.4,2.36,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.89,3.4,2.36,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.89,3.4,2.36,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.89,3.4,2.36,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.89,3.4,2.36,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.89,3.4,2.36,42.0,0.0,15.0,0.0,1.0
