day,month,year,weekday,hour,minute,matchday,leagueId,homeId,awayId,agHomeWins,agDraws,agAwayWins,avgGoals,target
27.0,4.0,2024.0,6.0,14.0,0.0,45.0,2016.0,715.0,343.0,1.0,0.0,4.0,3.6,0.0
27.0,4.0,2024.0,6.0,14.0,0.0,45.0,2016.0,340.0,70.0,1.0,1.0,3.0,1.2,0.0
27.0,4.0,2024.0,6.0,16.0,30.0,35.0,2021.0,62.0,402.0,3.0,1.0,1.0,2.6,1.0
27.0,4.0,2024.0,6.0,18.0,45.0,34.0,2019.0,110.0,450.0,2.0,3.0,0.0,2.6,1.0
28.0,4.0,2024.0,7.0,10.0,15.0,31.0,2003.0,1915.0,682.0,1.0,1.0,3.0,3.0,0.0
28.0,4.0,2024.0,7.0,10.0,15.0,31.0,2003.0,684.0,671.0,3.0,0.0,2.0,3.4,1.0
28.0,4.0,2024.0,7.0,10.0,30.0,34.0,2019.0,108.0,586.0,4.0,1.0,0.0,1.8,1.0
28.0,4.0,2024.0,7.0,11.0,0.0,31.0,2015.0,545.0,521.0,0.0,2.0,3.0,2.6,0.0
28.0,4.0,2024.0,7.0,12.0,30.0,31.0,2003.0,6806.0,1919.0,4.0,0.0,1.0,2.8,1.0
28.0,4.0,2024.0,7.0,13.0,0.0,31.0,2015.0,541.0,547.0,3.0,1.0,1.0,2.8,1.0
28.0,4.0,2024.0,7.0,13.0,0.0,35.0,2021.0,73.0,57.0,1.0,1.0,3.0,3.6,0.0
28.0,4.0,2024.0,7.0,13.0,0.0,35.0,2021.0,1044.0,397.0,2.0,0.0,3.0,2.8,1.0
28.0,4.0,2024.0,7.0,13.0,0.0,31.0,2015.0,576.0,522.0,1.0,2.0,2.0,2.0,0.0
28.0,4.0,2024.0,7.0,13.0,0.0,31.0,2015.0,525.0,511.0,1.0,2.0,2.0,2.2,0.0
28.0,4.0,2024.0,7.0,14.0,45.0,31.0,2003.0,679.0,1920.0,2.0,0.0,3.0,3.4,1.0
28.0,4.0,2024.0,7.0,15.0,5.0,31.0,2015.0,529.0,512.0,3.0,1.0,1.0,3.6,0.0
28.0,4.0,2024.0,7.0,15.0,30.0,35.0,2021.0,351.0,65.0,1.0,1.0,3.0,3.0,0.0
28.0,4.0,2024.0,7.0,16.0,0.0,34.0,2019.0,102.0,445.0,4.0,0.0,1.0,2.2,1.0
28.0,4.0,2024.0,7.0,17.0,0.0,31.0,2015.0,523.0,548.0,3.0,0.0,2.0,3.0,1.0
28.0,4.0,2024.0,7.0,17.0,30.0,31.0,2002.0,55.0,44.0,1.0,1.0,3.0,3.2,0.0
28.0,4.0,2024.0,7.0,18.0,45.0,34.0,2019.0,99.0,471.0,3.0,0.0,2.0,3.4,1.0
28.0,4.0,2024.0,7.0,19.0,0.0,31.0,2015.0,516.0,546.0,2.0,0.0,3.0,2.0,1.0
29.0,4.0,2024.0,1.0,18.0,45.0,34.0,2019.0,107.0,104.0,2.0,2.0,1.0,1.4,1.0
29.0,4.0,2024.0,1.0,19.0,0.0,45.0,2016.0,1081.0,338.0,2.0,0.0,3.0,3.6,0.0
30.0,4.0,2024.0,2.0,19.0,0.0,44.0,2016.0,1076.0,349.0,2.0,1.0,2.0,2.4,0.0
12.0,4.0,2024.0,5.0,0.0,0.0,2.0,2152.0,6667.0,7055.0,1.0,1.0,0.0,3.0,1.0
12.0,4.0,2024.0,5.0,0.0,0.0,2.0,2152.0,1769.0,7118.0,2.0,0.0,0.0,4.5,1.0
12.0,4.0,2024.0,5.0,18.0,0.0,30.0,2003.0,670.0,1919.0,3.0,0.0,2.0,4.4,1.0
12.0,4.0,2024.0,5.0,18.0,30.0,29.0,2002.0,16.0,28.0,3.0,2.0,0.0,2.2,1.0
12.0,4.0,2024.0,5.0,18.0,45.0,32.0,2019.0,110.0,455.0,3.0,0.0,2.0,3.4,1.0
12.0,4.0,2024.0,5.0,19.0,0.0,43.0,2016.0,1138.0,338.0,1.0,0.0,4.0,3.2,1.0
12.0,4.0,2024.0,5.0,19.0,0.0,29.0,2015.0,545.0,546.0,2.0,2.0,1.0,2.6,1.0
13.0,4.0,2024.0,6.0,11.0,30.0,33.0,2021.0,67.0,73.0,3.0,0.0,2.0,5.0,1.0
13.0,4.0,2024.0,6.0,11.0,30.0,43.0,2016.0,341.0,59.0,4.0,0.0,1.0,3.0,0.0
13.0,4.0,2024.0,6.0,13.0,0.0,32.0,2019.0,5890.0,445.0,1.0,2.0,2.0,1.8,1.0
13.0,4.0,2024.0,6.0,13.0,30.0,29.0,2002.0,15.0,2.0,3.0,1.0,1.0,3.0,1.0
13.0,4.0,2024.0,6.0,13.0,30.0,29.0,2002.0,5.0,1.0,4.0,1.0,0.0,2.4,1.0
13.0,4.0,2024.0,6.0,13.0,30.0,29.0,2002.0,721.0,11.0,3.0,0.0,2.0,2.4,1.0
13.0,4.0,2024.0,6.0,13.0,30.0,29.0,2002.0,18.0,4.0,1.0,0.0,4.0,5.6,0.0
13.0,4.0,2024.0,6.0,14.0,0.0,43.0,2016.0,340.0,346.0,2.0,2.0,1.0,3.0,1.0
